ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
4819,SELL,2025-05-29 15:18:00,2025-05-29 19:43:00,108034.12,108415.0,-140.71680000000165,Basket TP,20260523,9
4820,SELL,2025-05-29 15:20:00,2025-05-29 19:43:00,108134.12,108415.0,-104.71680000000167,Basket TP,20260523,9
4821,SELL,2025-05-29 15:32:00,2025-05-29 19:43:00,108234.12,108415.0,-68.71680000000167,Basket TP,20260523,9
4822,SELL,2025-05-29 15:52:00,2025-05-29 19:43:00,108334.12,108415.0,-32.716800000001676,Basket TP,20260523,9
4823,SELL,2025-05-29 15:54:00,2025-05-29 19:43:00,108434.12,108415.0,3.283199999998324,Basket TP,20260523,9
4824,SELL,2025-05-29 15:55:00,2025-05-29 19:43:00,108534.12,108415.0,39.283199999998324,Basket TP,20260523,9
4825,SELL,2025-05-29 16:11:00,2025-05-29 19:43:00,108634.12,108415.0,75.28319999999833,Basket TP,20260523,9
4826,SELL,2025-05-29 17:51:00,2025-05-29 19:43:00,108734.12,108415.0,21.638399999999677,Basket TP,20260523,9
4827,SELL,2025-05-29 17:56:00,2025-05-29 19:43:00,108834.12,108415.0,28.638399999999677,Basket TP,20260523,9
4828,SELL,2025-06-06 07:38:00,2025-06-06 07:39:00,101731.78,101758.89,-2.597700000000041,Basket TP,20260523,1
4829,SELL,2025-06-06 07:54:00,2025-06-06 08:01:00,101913.08,101893.56,0.6664000000002853,Basket TP,20260523,1
4830,SELL,2025-06-06 09:47:00,2025-06-06 09:50:00,101914.63,101897.6,0.4920999999999186,Basket TP,20260523,1
4831,SELL,2025-06-06 09:58:00,2025-06-06 10:01:00,102129.8,102159.35,-2.7685000000002042,Basket TP,20260523,2
4832,SELL,2025-06-06 09:59:00,2025-06-06 10:01:00,102229.8,102159.35,4.231499999999796,Basket TP,20260523,2
4833,SELL,2025-06-06 10:05:00,2025-06-06 11:22:00,102098.84,102505.23,-29.147299999999962,Basket TP,20260524,7
4834,SELL,2025-06-06 10:13:00,2025-06-06 11:22:00,102198.84,102505.23,-22.147299999999962,Basket TP,20260524,7
4835,SELL,2025-06-06 10:17:00,2025-06-06 11:22:00,102298.84,102505.23,-15.14729999999996,Basket TP,20260524,7
4836,SELL,2025-06-06 10:31:00,2025-06-06 11:22:00,102398.84,102505.23,-8.14729999999996,Basket TP,20260524,7
4837,SELL,2025-06-06 10:34:00,2025-06-06 11:22:00,102498.84,102505.23,-1.1472999999999594,Basket TP,20260524,7
4838,SELL,2025-06-06 10:54:00,2025-06-06 11:22:00,102598.84,102505.23,5.852700000000041,Basket TP,20260524,7
4839,SELL,2025-06-06 11:16:00,2025-06-06 11:22:00,102698.84,102505.23,66.09960000000021,Basket TP,20260524,7
