ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
9311,BUY,2024-07-15 12:41:00,2024-07-15 15:24:00,2410.485,2408.985,-18.6,Basket TP,20260606,2
9312,BUY,2024-07-15 13:16:00,2024-07-15 15:24:00,2405.485,2408.985,31.4,Basket TP,20260606,2
9313,BUY,2024-07-15 16:35:00,2024-07-15 16:46:00,2408.673,2409.673,1.28,Basket TP,20260606,1
9314,BUY,2024-07-16 00:06:00,2024-07-16 08:30:00,2427.757,2426.2569999999996,-3.7200000000009092,Basket TP,20260606,2
9315,BUY,2024-07-16 00:28:00,2024-07-16 08:30:00,2422.757,2426.2569999999996,6.279999999999091,Basket TP,20260606,2
9316,BUY,2024-07-16 10:24:00,2024-07-16 11:57:00,2428.302,2429.302,6.4,Basket TP,20260606,1
9317,BUY,2024-07-16 15:12:00,2024-07-16 15:13:00,2434.475,2435.475,0.64,Basket TP,20260606,1
9318,BUY,2024-07-16 15:48:00,2024-07-16 15:50:00,2434.628,2435.628,0.64,Basket TP,20260606,1
9319,BUY,2024-07-16 19:53:00,2024-07-16 19:56:00,2431.043,2432.043,1.28,Basket TP,20260606,1
9320,BUY,2024-07-16 23:07:00,2024-07-16 23:15:00,2460.354,2461.354,1.28,Basket TP,20260606,1
9321,BUY,2024-07-16 23:46:00,2024-07-17 00:02:00,2459.696,2460.696,1.28,Basket TP,20260606,1
9322,BUY,2024-07-17 01:33:00,2024-07-17 01:36:00,2463.223,2464.223,1.28,Basket TP,20260606,1
9323,BUY,2024-07-17 02:22:00,2024-07-17 02:25:00,2463.679,2464.679,0.64,Basket TP,20260606,1
9324,BUY,2024-07-17 06:31:00,2024-07-17 07:36:00,2468.315,2469.315,0.64,Basket TP,20260606,1
9325,BUY,2024-07-17 08:01:00,2024-07-17 08:02:00,2469.569,2472.143,2.2140000000000692,Basket TP,20260606,1
9326,BUY,2024-07-17 09:28:00,2024-07-17 10:39:00,2478.631,2470.131,-8.86,Basket TP,20260606,3
9327,BUY,2024-07-17 09:36:00,2024-07-17 10:39:00,2473.631,2470.131,-3.8600000000000003,Basket TP,20260606,3
9328,BUY,2024-07-17 10:19:00,2024-07-17 10:39:00,2468.631,2470.131,11.400000000000002,Basket TP,20260606,3
9329,BUY,2024-07-17 12:03:00,2024-07-17 12:13:00,2467.324,2468.324,6.4,Basket TP,20260606,1
9330,BUY,2024-07-17 13:04:00,2024-07-17 13:05:00,2465.432,2466.432,6.4,Basket TP,20260606,1
9331,BUY,2024-07-17 15:37:00,2024-07-17 15:41:00,2473.199,2474.199,0.64,Basket TP,20260606,1
9332,BUY,2024-07-17 17:40:00,2024-07-17 18:43:00,2471.596,2472.596,1.28,Basket TP,20260606,1
9333,BUY,2024-07-17 21:14:00,2024-07-17 21:20:00,2468.556,2469.556,1.28,Basket TP,20260606,1
9334,BUY,2024-07-17 21:59:00,2024-07-17 22:01:00,2463.821,2464.821,1.28,Basket TP,20260606,1
9335,BUY,2024-07-17 23:28:00,2024-07-17 23:31:00,2454.411,2455.411,1.28,Basket TP,20260606,1
9336,BUY,2024-07-17 23:35:00,2024-07-17 23:52:00,2456.96,2457.96,1.28,Basket TP,20260607,1
9337,BUY,2024-07-18 02:28:00,2024-07-18 02:48:00,2457.606,2458.606,0.64,Basket TP,20260606,1
