ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
49,BUY,2026-07-15 05:20:00,2026-07-15 05:21:00,1874.87,1882.63,0.6760000000000219,Basket TP,20260802,1
50,BUY,2026-07-15 05:22:00,2026-07-15 05:33:00,1883.02,1885.0200000000002,0.10000000000002274,Basket TP,20260802,1
51,BUY,2026-07-15 08:55:00,2026-07-15 09:12:00,1868.64,1870.6400000000003,0.10000000000002274,Basket TP,20260802,1
52,BUY,2026-07-15 14:35:00,2026-07-15 14:42:00,1865.94,1867.94,0.1,Basket TP,20260802,1
53,BUY,2026-07-16 06:50:00,2026-07-16 06:52:00,1915.22,1917.22,0.1,Basket TP,20260802,1
54,BUY,2026-07-16 06:53:00,2026-07-16 07:02:00,1917.66,1919.66,0.1,Basket TP,20260802,1
55,BUY,2026-07-16 14:50:00,2026-07-16 15:00:00,1907.56,1909.56,0.1,Basket TP,20260802,1
56,BUY,2026-07-16 15:01:00,2026-07-16 22:27:00,1910.7,1892.7000000000003,-1.8999999999999775,Basket TP,20260803,5
57,BUY,2026-07-16 15:10:00,2026-07-16 22:27:00,1900.7,1892.7000000000003,-0.8999999999999773,Basket TP,20260803,5
58,BUY,2026-07-16 15:10:00,2026-07-16 22:27:00,1890.7,1892.7000000000003,0.10000000000002274,Basket TP,20260803,5
59,BUY,2026-07-16 15:15:00,2026-07-16 22:27:00,1880.7,1892.7000000000003,1.1000000000000227,Basket TP,20260803,5
60,BUY,2026-07-16 19:37:00,2026-07-16 22:27:00,1870.7,1892.7000000000003,2.1000000000000227,Basket TP,20260803,5
61,BUY,2026-07-17 06:15:00,2026-07-17 07:45:00,1865.39,1857.3899999999999,-0.9000000000000228,Basket TP,20260802,3
62,BUY,2026-07-17 07:31:00,2026-07-17 07:45:00,1855.39,1857.3899999999999,0.09999999999997727,Basket TP,20260802,3
63,BUY,2026-07-17 07:36:00,2026-07-17 07:45:00,1845.39,1857.3899999999999,1.0999999999999772,Basket TP,20260802,3
64,BUY,2026-07-17 07:46:00,2026-07-17 07:48:00,1857.88,1859.88,0.1,Basket TP,20260802,1
65,BUY,2026-07-17 07:49:00,2026-07-17 07:53:00,1859.69,1861.69,0.1,Basket TP,20260802,1
66,BUY,2026-07-17 19:55:00,2026-07-17 20:57:00,1828.05,1820.0499999999995,-0.9000000000000455,Basket TP,20260802,3
67,BUY,2026-07-17 20:06:00,2026-07-17 20:57:00,1818.05,1820.0499999999995,0.09999999999995454,Basket TP,20260802,3
68,BUY,2026-07-17 20:11:00,2026-07-17 20:57:00,1808.05,1820.0499999999995,1.0999999999999546,Basket TP,20260802,3
69,BUY,2026-07-19 19:20:00,2026-07-19 19:23:00,1866.66,1868.66,0.1,Basket TP,20260802,1
70,BUY,2026-07-19 19:24:00,2026-07-19 19:25:00,1869.62,1871.77,0.1150000000000091,Basket TP,20260802,1
71,BUY,2026-07-20 01:35:00,2026-07-20 02:59:00,1858.2,1860.2,0.01,Basket TP,20260802,1
72,BUY,2026-07-20 04:50:00,2026-07-20 05:01:00,1859.61,1861.61,0.01,Basket TP,20260802,1
73,BUY,2026-07-20 12:20:00,2026-07-20 14:22:00,1861.37,1853.37,-0.9,Basket TP,20260802,3
74,BUY,2026-07-20 13:05:00,2026-07-20 14:22:00,1851.37,1853.37,0.1,Basket TP,20260802,3
75,BUY,2026-07-20 13:37:00,2026-07-20 14:22:00,1841.37,1853.37,1.1,Basket TP,20260802,3
76,BUY,2026-07-21 02:20:00,2026-07-21 02:29:00,1892.61,1894.61,0.1,Basket TP,20260802,1
77,BUY,2026-07-21 05:50:00,2026-07-21 06:05:00,1894.4,1896.4,0.1,Basket TP,20260802,1
78,BUY,2026-07-21 18:30:00,2026-07-21 18:32:00,1928.16,1930.1600000000003,0.10000000000002274,Basket TP,20260802,1
79,BUY,2026-07-21 18:33:00,2026-07-21 18:37:00,1929.61,1931.6100000000001,0.10000000000002274,Basket TP,20260802,1
80,BUY,2026-07-21 20:50:00,2026-07-21 20:51:00,1933.72,1935.72,0.1,Basket TP,20260802,1
81,BUY,2026-07-21 20:52:00,2026-07-21 20:53:00,1934.08,1936.0800000000002,0.10000000000002274,Basket TP,20260802,1
82,BUY,2026-07-21 20:54:00,2026-07-21 20:55:00,1935.64,1937.64,0.1,Basket TP,20260802,1
83,BUY,2026-07-22 12:35:00,2026-07-22 15:07:00,1923.73,1920.73,-0.4,Basket TP,20260802,2
84,BUY,2026-07-22 13:20:00,2026-07-22 15:07:00,1913.73,1920.73,0.6000000000000001,Basket TP,20260802,2
85,BUY,2026-07-23 01:45:00,2026-07-23 01:47:00,1924.56,1926.5600000000002,0.10000000000002274,Basket TP,20260802,1
86,BUY,2026-07-23 01:48:00,2026-07-23 01:55:00,1927.83,1929.8300000000002,0.10000000000002274,Basket TP,20260802,1
87,BUY,2026-07-23 14:50:00,2026-07-23 15:03:00,1912.81,1914.81,0.1,Basket TP,20260802,1
88,BUY,2026-07-23 19:55:00,2026-07-23 20:00:00,1903.57,1905.57,0.1,Basket TP,20260802,1
89,BUY,2026-07-23 20:25:00,2026-07-23 20:32:00,1899.5,1901.5,0.1,Basket TP,20260802,1
90,BUY,2026-07-23 20:45:00,2026-07-23 21:13:00,1906.14,1903.1400000000003,-0.39999999999997726,Basket TP,20260803,2
91,BUY,2026-07-23 21:02:00,2026-07-23 21:13:00,1896.14,1903.1400000000003,0.6000000000000228,Basket TP,20260803,2
92,SELL,2026-07-24 13:25:00,2026-07-24 13:30:00,1883.08,1881.08,0.1,Basket TP,20260802,1
93,BUY,2026-07-24 16:30:00,2026-07-24 16:37:00,1881.01,1883.01,0.1,Basket TP,20260802,1
94,SELL,2026-07-25 17:10:00,2026-07-28 05:40:00,1856.19,1914.1900000000007,-5.900000000000068,Basket TP,20260802,13
